"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GPAM",4.05024627990929e-32,0.725030480746073,0.498,0.343,5.76147533317097e-28,"GLUL","GPAM"
"HLA-E",1.74305735869128e-31,0.467966703663881,0.709,0.556,2.47949909273835e-27,"GLUL","HLA-E"
"ADH4",1.74639105795688e-31,0.311765450273378,0.943,0.813,2.48424127994366e-27,"GLUL","ADH4"
"FCN2",5.90040593737264e-31,0.96521957243361,0.361,0.221,8.39332744591259e-27,"GLUL","FCN2"
"NPC2",2.90494496795412e-30,0.68190415818978,0.432,0.279,4.13228421691474e-26,"GLUL","NPC2"
"LIFR",1.29355790307919e-29,0.943927651514043,0.311,0.178,1.84008611713014e-25,"GLUL","LIFR"
"IFI27",1.58543451469276e-29,0.863870985903354,0.337,0.2,2.25528059715045e-25,"GLUL","IFI27"
"LAPTM5",3.70599256841659e-29,0.692693870974787,0.409,0.26,5.27177442857261e-25,"GLUL","LAPTM5"
"MS4A7",4.6219351191515e-29,0.958787147000466,0.274,0.148,6.57470270699301e-25,"GLUL","MS4A7"
"UBA52",1.03070487286121e-28,0.308967381708244,0.906,0.821,1.46617768164507e-24,"GLUL","UBA52"
"CCL14",1.46733327775979e-28,0.770085991331009,0.39,0.249,2.0872815876133e-24,"GLUL","CCL14"
"S100A9",8.91828570301859e-28,1.12957200445764,0.252,0.135,1.26862614125439e-23,"GLUL","S100A9"
"SCP2",1.17091883060291e-27,0.311787267237911,0.93,0.87,1.66563203653265e-23,"GLUL","SCP2"
"ALDH3A2",1.26385757014204e-27,0.470458347586743,0.653,0.507,1.79783739352706e-23,"GLUL","ALDH3A2"
"ADH1C",1.6630149735084e-27,0.503859654401526,0.596,0.441,2.36563879981569e-23,"GLUL","ADH1C"
"CXCL14",1.77409332818714e-27,1.29822196023903,0.17,0.073,2.5236477593462e-23,"GLUL","CXCL14"
"PRAP1",5.29185539533622e-27,0.384532717273606,0.819,0.704,7.52766429986578e-23,"GLUL","PRAP1"
"ACP5",9.74932292381244e-27,1.11801610602104,0.203,0.098,1.38684118591232e-22,"GLUL","ACP5"
"IGKV4-1",1.87230708530392e-26,2.56671079616493,0.154,0.065,2.66335682884482e-22,"GLUL","IGKV4-1"
"LGMN",2.21677634585385e-26,0.809256469772326,0.387,0.255,3.1533643519771e-22,"GLUL","LGMN"
"HLA-DPA1",2.4678409603884e-26,0.463588601868096,0.451,0.299,3.5105037661525e-22,"GLUL","HLA-DPA1"
"ABCC2",9.12888258278026e-26,0.610791592676919,0.477,0.335,1.29858354740049e-21,"GLUL","ABCC2"
"SDCBP",1.31206040951634e-25,0.662759892743151,0.392,0.253,1.866405932537e-21,"GLUL","SDCBP"
"MZB1",2.29956656645498e-25,2.6198221326245,0.066,0.013,3.2711334407822e-21,"GLUL","MZB1"
"PAH",2.18707427170685e-24,0.343299162464733,0.798,0.673,3.111113151503e-20,"GLUL","PAH"
"AKR1C1",3.41271869194011e-24,0.670646861177792,0.464,0.335,4.8545923392848e-20,"GLUL","AKR1C1"
"OAZ1",7.4551315699348e-24,0.387294693934374,0.768,0.659,1.06049246582323e-19,"GLUL","OAZ1"
"UGT1A4",1.31744946708067e-23,0.429081771563204,0.669,0.547,1.87407186692226e-19,"GLUL","UGT1A4"
"RAMP3",1.0040933127126e-22,1.09263782658914,0.173,0.082,1.42832273733368e-18,"GLUL","RAMP3"
"SLCO1B7",1.10719994603343e-22,1.33648253541438,0.133,0.055,1.57499192323255e-18,"GLUL","SLCO1B7"
"CD5L",1.42437544533419e-22,0.980499749246518,0.25,0.145,2.02617407098789e-18,"GLUL","CD5L"
"SCD",1.50368039563495e-22,0.435941857348123,0.85,0.814,2.13898536279072e-18,"GLUL","SCD"
"CSF1R",1.87365834776436e-22,0.734708349036131,0.305,0.186,2.6652789996948e-18,"GLUL","CSF1R"
"RNASET2",2.95764307794095e-22,0.800983559174407,0.271,0.16,4.20724727837101e-18,"GLUL","RNASET2"
"RELN",4.89445847768494e-22,1.19544354810903,0.153,0.07,6.96236718450683e-18,"GLUL","RELN"
"ENG",7.47530398001841e-22,0.724873790480961,0.312,0.195,1.06336199115762e-17,"GLUL","ENG"
"IGSF6",2.40382557760539e-21,1.17696731705,0.142,0.063,3.41944188414367e-17,"GLUL","IGSF6"
"ALDH1L1",4.03905663515831e-21,0.371163184075192,0.754,0.637,5.74555806351269e-17,"GLUL","ALDH1L1"
"HLA-DPB1",4.53254010966645e-21,0.361197943675206,0.492,0.351,6.44753830600052e-17,"GLUL","HLA-DPB1"
"RHBG",8.14597462340687e-21,2.48133704055306,0.048,0.008,1.15876489017963e-16,"GLUL","RHBG"
"RAMP1",3.79454053496092e-20,0.990845362688938,0.174,0.088,5.39773391098191e-16,"GLUL","RAMP1"
"LYVE1",7.04685116028648e-20,0.993720937109853,0.198,0.108,1.00241457755075e-15,"GLUL","LYVE1"
"SERINC2",7.77225336165501e-20,0.590653157881897,0.395,0.275,1.10560304069543e-15,"GLUL","SERINC2"
"FCN3",1.29410346512354e-19,0.65258729472372,0.367,0.252,1.84086217913823e-15,"GLUL","FCN3"
"GPNMB",1.38070268333432e-19,1.09993267551659,0.166,0.084,1.96404956704307e-15,"GLUL","GPNMB"
"CTSL",1.70596297813038e-19,0.592969575313162,0.372,0.254,2.42673233639047e-15,"GLUL","CTSL"
"TBX3",3.91669571339717e-19,0.951465728507734,0.176,0.091,5.57149965230748e-15,"GLUL","TBX3"
"CREG1",4.17565040151052e-19,0.589814947177782,0.397,0.282,5.93986269614871e-15,"GLUL","CREG1"
"CTSZ",6.6807029496176e-19,0.367620591255477,0.698,0.598,9.50329994583103e-15,"GLUL","CTSZ"
"SRGN",2.55473315482687e-18,0.810936534059052,0.229,0.135,3.63410791274122e-14,"GLUL","SRGN"
"FCGRT",9.12432384175596e-18,0.274472937338559,0.826,0.734,1.29793506648979e-13,"GLUL","FCGRT"
"NADK2",1.61589824778054e-17,0.580904677747688,0.338,0.229,2.29861525746782e-13,"GLUL","NADK2"
"ARPC1B",2.96618509200198e-17,0.45364387964713,0.43,0.312,4.21939829337282e-13,"GLUL","ARPC1B"
"ABRACL",6.0096380412927e-17,0.886353131333237,0.185,0.104,8.54871011373887e-13,"GLUL","ABRACL"
"NAGS",7.15618023415727e-17,0.741689025333531,0.244,0.151,1.01796663830887e-12,"GLUL","NAGS"
"ELOVL2",8.79120202546325e-17,0.675645167718098,0.257,0.161,1.25054848812215e-12,"GLUL","ELOVL2"
"MPEG1",1.03648432455612e-16,0.747052413552585,0.217,0.129,1.47439895168108e-12,"GLUL","MPEG1"
"CFHR2",2.10631516087494e-16,0.296631937556723,0.717,0.6,2.9962333163446e-12,"GLUL","CFHR2"
"SPI1",2.11697027124556e-16,0.823087256887119,0.204,0.12,3.01139021084681e-12,"GLUL","SPI1"
"PCBP2",2.56270884585037e-16,0.516507164788139,0.412,0.304,3.64545333322215e-12,"GLUL","PCBP2"
"CD63",2.83960606114317e-16,0.348070509689593,0.639,0.531,4.03933962197616e-12,"GLUL","CD63"
"GPX4",3.43628941364324e-16,0.319176405492541,0.715,0.608,4.88812169090751e-12,"GLUL","GPX4"
"CALM3",6.06885076438161e-16,0.504408583645661,0.399,0.292,8.63294021233284e-12,"GLUL","CALM3"
"CYP7A1",6.77969424623523e-16,0.68428039254611,0.221,0.133,9.64411506526962e-12,"GLUL","CYP7A1"
"ASAH1",1.07827789111265e-15,0.591739590656456,0.315,0.216,1.53385030010775e-11,"GLUL","ASAH1"
"CXCL12",1.62284719384333e-15,0.46307377367057,0.478,0.37,2.30850013324213e-11,"GLUL","CXCL12"
"ACSL5",1.64722778530524e-15,0.571082287260693,0.318,0.218,2.34318152459671e-11,"GLUL","ACSL5"
"MTHFD1",1.93031170951552e-15,0.354424928070838,0.599,0.492,2.74586840678582e-11,"GLUL","MTHFD1"
"IL6ST",2.17339011586244e-15,0.419783208755474,0.526,0.427,3.09164743981433e-11,"GLUL","IL6ST"
"EIF4B",2.37148076178297e-15,0.333280103376037,0.639,0.533,3.37343138363627e-11,"GLUL","EIF4B"
"HMOX1",4.39183406228869e-15,0.841420411431838,0.188,0.11,6.24738395360567e-11,"GLUL","HMOX1"
"LAMP2",2.17974793939148e-14,0.512633045663949,0.386,0.288,3.10069144378438e-10,"GLUL","LAMP2"
"CD14",2.28222649234517e-14,0.341015752155643,0.605,0.497,3.24646718536101e-10,"GLUL","CD14"
"CAPNS1",2.47538493213539e-14,0.460545238948006,0.418,0.314,3.52123506596259e-10,"GLUL","CAPNS1"
"IL1R1",2.70904579488607e-14,0.572861080383248,0.302,0.208,3.85361764322543e-10,"GLUL","IL1R1"
"RHOA",5.60468295031495e-14,0.254682468564282,0.7,0.595,7.97266149682302e-10,"GLUL","RHOA"
"SIGLEC1",5.86585709717798e-14,1.00744632109233,0.122,0.062,8.34418172073568e-10,"GLUL","SIGLEC1"
"HHIP",9.63788362964476e-14,1.17053232413741,0.092,0.041,1.37098894631697e-09,"GLUL","HHIP"
"TMIGD3",1.03035588860166e-13,1.2791231559721,0.079,0.033,1.46568125153587e-09,"GLUL","TMIGD3"
"HLA-DMB",1.03487787349598e-13,0.644446991389927,0.199,0.121,1.47211377504803e-09,"GLUL","HLA-DMB"
"TSKU",1.10134452579183e-13,0.534779281133366,0.291,0.199,1.56666258793888e-09,"GLUL","TSKU"
"CCNI",1.34188473366738e-13,0.369121765829058,0.382,0.276,1.90883103364184e-09,"GLUL","CCNI"
"PLD3",2.32168466526324e-13,0.499855821408683,0.361,0.265,3.30259643633696e-09,"GLUL","PLD3"
"SLC13A3",2.45868984360639e-13,1.9106651973823,0.04,0.01,3.49748630253008e-09,"GLUL","SLC13A3"
"AIF1",4.8064311028054e-13,0.737013812817293,0.182,0.11,6.83714824374068e-09,"GLUL","AIF1"
"ALDH6A1",4.84158355864426e-13,0.270097383172548,0.669,0.572,6.88715261217146e-09,"GLUL","ALDH6A1"
"GRINA",5.54051617784851e-13,0.358762208109479,0.536,0.44,7.88138426298951e-09,"GLUL","GRINA"
"PLTP",5.9562576565026e-13,0.725118423087175,0.203,0.128,8.47277651637495e-09,"GLUL","PLTP"
"PFDN5",1.02609809142701e-12,0.46146418553543,0.373,0.279,1.45962453505492e-08,"GLUL","PFDN5"
"WARS",1.09672546494504e-12,0.522434935766551,0.333,0.241,1.56009197388432e-08,"GLUL","WARS"
"TTPA",1.757498148187e-12,0.331674592698855,0.566,0.469,2.50004111579601e-08,"GLUL","TTPA"
"CYBB",1.88223440916157e-12,0.61828847413728,0.23,0.152,2.67747844703234e-08,"GLUL","CYBB"
"C1orf43",2.02830798530833e-12,0.439174778190698,0.367,0.272,2.8852681091011e-08,"GLUL","C1orf43"
"AXL",3.1495951693195e-12,1.02614241480223,0.099,0.049,4.48029912835699e-08,"GLUL","AXL"
"S100A10",3.92491464861465e-12,0.373771680711912,0.423,0.326,5.58319108765434e-08,"GLUL","S100A10"
"LILRB5",4.40784708226162e-12,1.08093488764261,0.088,0.041,6.27016247451715e-08,"GLUL","LILRB5"
"SGK1",5.62293827922136e-12,0.77638953007379,0.158,0.094,7.99862970219238e-08,"GLUL","SGK1"
"CFD",6.32100542525426e-12,0.808366621536153,0.161,0.097,8.99163021742418e-08,"GLUL","CFD"
"FPR3",6.88298743093315e-12,0.92350750259243,0.118,0.063,9.7910496205024e-08,"GLUL","FPR3"
"ACSS3",7.6609691962488e-12,0.562431068787698,0.243,0.164,1.08977286816639e-07,"GLUL","ACSS3"
"FOLR2",8.08699278840035e-12,0.909628406075806,0.117,0.062,1.15037472414995e-07,"GLUL","FOLR2"
"TMEM37",8.55558847132088e-12,0.449180764155708,0.339,0.249,1.21703246004539e-07,"GLUL","TMEM37"
"ILRUN",9.66997658277701e-12,0.388470329680976,0.418,0.323,1.37555416890003e-07,"GLUL","ILRUN"
"HSP90AA1",1.15001366981948e-11,0.265938586115527,0.738,0.659,1.63589444531821e-07,"GLUL","HSP90AA1"
"PSME1",1.29857486958599e-11,0.35673704990077,0.545,0.458,1.84722275198607e-07,"GLUL","PSME1"
"XAF1",1.6565105236251e-11,0.584544089252252,0.235,0.159,2.35638621985671e-07,"GLUL","XAF1"
"A1CF",1.80453751633738e-11,0.343900644761943,0.507,0.417,2.56695461698992e-07,"GLUL","A1CF"
"GRN",1.81417118414098e-11,0.528004535882435,0.28,0.199,2.58065850944055e-07,"GLUL","GRN"
"HLA-F",1.862769416434e-11,0.457171946848976,0.317,0.232,2.64978949487736e-07,"GLUL","HLA-F"
"PTPRB",1.91771123832409e-11,0.769672118625929,0.139,0.081,2.72794423651602e-07,"GLUL","PTPRB"
"CD53",8.45534359246702e-11,0.663572335417522,0.146,0.087,1.20277262602843e-06,"GLUL","CD53"
"C6orf62",8.59593371069249e-11,0.528510355474405,0.246,0.171,1.22277157034601e-06,"GLUL","C6orf62"
"FABP5",1.01101305488037e-10,1.3656288810739,0.063,0.027,1.43816607056732e-06,"GLUL","FABP5"
"ITPR2",1.27349119524704e-10,0.444746529101267,0.335,0.252,1.81154122523891e-06,"GLUL","ITPR2"
"SNRNP70",1.28891412286351e-10,0.263495343764834,0.682,0.597,1.83348033977334e-06,"GLUL","SNRNP70"
"PLA2G7",1.29503648561892e-10,2.73663579760725,0.02,0.003,1.84218940079291e-06,"GLUL","PLA2G7"
"ERV3-1",1.77012785195085e-10,1.28394017226988,0.059,0.025,2.51800686940009e-06,"GLUL","ERV3-1"
"GUCD1",1.81974371217995e-10,0.391426878883975,0.341,0.255,2.58858543057597e-06,"GLUL","GUCD1"
"SFXN1",1.98244926262462e-10,0.433518212373008,0.33,0.248,2.82003407608352e-06,"GLUL","SFXN1"
"NINJ1",2.03860330495061e-10,0.591205358085682,0.207,0.139,2.89991320129225e-06,"GLUL","NINJ1"
"EVL",2.06486954006154e-10,0.455112020206587,0.321,0.241,2.93727692073754e-06,"GLUL","EVL"
"GM2A",2.31969053317249e-10,0.73620013550492,0.158,0.099,3.29975978343787e-06,"GLUL","GM2A"
"COTL1",2.74013254068047e-10,0.471602834654828,0.297,0.218,3.89783853911796e-06,"GLUL","COTL1"
"SPATA21",3.1337682627406e-10,2.47092725747513,0.024,0.005,4.45778535374851e-06,"GLUL","SPATA21"
"COBLL1",3.1518562144291e-10,0.46401062246196,0.29,0.212,4.4835154650254e-06,"GLUL","COBLL1"
"CDHR5",3.30106350822689e-10,0.354180887347152,0.453,0.367,4.69576284045276e-06,"GLUL","CDHR5"
"CXCL10",3.49336077070743e-10,1.21223870691569,0.071,0.033,4.96930569633132e-06,"GLUL","CXCL10"
"ECM1",4.40607802309419e-10,0.676906973919133,0.17,0.109,6.26764598785148e-06,"GLUL","ECM1"
"NFAM1",4.51819924012396e-10,1.52704065073491,0.042,0.015,6.42713841907633e-06,"GLUL","NFAM1"
"AKR1B10",4.64677861320248e-10,2.61110491552339,0.021,0.003,6.61004257728052e-06,"GLUL","AKR1B10"
"POLR2L",4.75467232435568e-10,0.339014856081048,0.483,0.4,6.76352138139596e-06,"GLUL","POLR2L"
"CTSA",5.25294402059362e-10,0.466369822542376,0.307,0.231,7.47231286929442e-06,"GLUL","CTSA"
"EIF4A2",5.32340001772614e-10,0.311582808784307,0.505,0.422,7.57253652521543e-06,"GLUL","EIF4A2"
"MFSD1",5.47549235758455e-10,0.609057086874528,0.19,0.126,7.78888787866402e-06,"GLUL","MFSD1"
"TAF10",6.12308892798003e-10,0.369984039389408,0.375,0.291,8.71009400005159e-06,"GLUL","TAF10"
"ITGB2",6.36876090798956e-10,0.467531241028027,0.222,0.152,9.05956239161515e-06,"GLUL","ITGB2"
"CYBA",6.5008970618802e-10,0.424984053725061,0.283,0.205,9.24752607052459e-06,"GLUL","CYBA"
"CARD8",7.18628874503115e-10,0.496334728277312,0.251,0.179,1.02224957398068e-05,"GLUL","CARD8"
"HIBADH",8.24613388674446e-10,0.402476384750591,0.342,0.262,1.1730125453894e-05,"GLUL","HIBADH"
"TUT7",1.01572352649715e-09,0.341842399316391,0.398,0.312,1.44486671644219e-05,"GLUL","TUT7"
"PTPRC",1.26981534460984e-09,0.48602158890795,0.206,0.14,1.8063123277075e-05,"GLUL","PTPRC"
"FCGR3B",1.30001443774639e-09,1.04800184876597,0.073,0.035,1.84927053769424e-05,"GLUL","FCGR3B"
"ACSM5",1.32608080155209e-09,0.29605261907133,0.527,0.443,1.88634994020785e-05,"GLUL","ACSM5"
"SOD2",1.68751320105172e-09,0.360878285990213,0.733,0.678,2.40048752849607e-05,"GLUL","SOD2"
"AP2S1",1.94436753694757e-09,0.355246128443582,0.432,0.353,2.76586282130791e-05,"GLUL","AP2S1"
"SHTN1",2.17912346812098e-09,0.402819440382315,0.338,0.26,3.09980313340209e-05,"GLUL","SHTN1"
"NOTUM",2.44106437466012e-09,1.17976560391544,0.056,0.024,3.47241407295402e-05,"GLUL","NOTUM"
"ARPC2",2.51231019906158e-09,0.30843215884125,0.351,0.267,3.5737612581651e-05,"GLUL","ARPC2"
"MPLKIP",2.59324295482741e-09,0.494467322394721,0.256,0.186,3.68888810324199e-05,"GLUL","MPLKIP"
"IFIT3",2.62976890216044e-09,0.579326206850726,0.227,0.162,3.74084626332322e-05,"GLUL","IFIT3"
"LST1",2.68844524296864e-09,0.765906642321111,0.137,0.085,3.82431335812288e-05,"GLUL","LST1"
"TCN2",3.10814664670386e-09,0.967248725748662,0.08,0.041,4.42133860493625e-05,"GLUL","TCN2"
"CYP1A1",3.36187337006957e-09,1.49889541193736,0.038,0.013,4.78226486892396e-05,"GLUL","CYP1A1"
"FKBP1A",3.47355767457679e-09,0.446065442085072,0.266,0.195,4.94113579208549e-05,"GLUL","FKBP1A"
"EIF2S3",3.78873324647461e-09,0.413442544224382,0.309,0.234,5.38947304311013e-05,"GLUL","EIF2S3"
"ABCC5",3.85045876901623e-09,0.846436392567333,0.105,0.06,5.47727759892558e-05,"GLUL","ABCC5"
"TXNDC5",4.4865531922834e-09,0.56203430895546,0.302,0.234,6.38212191602314e-05,"GLUL","TXNDC5"
"PAPOLA",4.55380345584571e-09,0.431747698938236,0.294,0.221,6.47778541594052e-05,"GLUL","PAPOLA"
"FNDC3A",5.13861649855518e-09,0.446675901835926,0.28,0.209,7.30968196919474e-05,"GLUL","FNDC3A"
"GLYATL1",5.23793909587282e-09,0.300352364116383,0.453,0.367,7.45096836387908e-05,"GLUL","GLYATL1"
"USF2",6.85804203559934e-09,0.36174544658667,0.395,0.318,9.75556479564006e-05,"GLUL","USF2"
"UCP2",7.02821355297562e-09,0.744371446386851,0.134,0.084,9.99763377910782e-05,"GLUL","UCP2"
"IDH2",8.45169402485883e-09,0.312566155367491,0.429,0.351,0.000120225347503617,"GLUL","IDH2"
"ANXA5",9.99163270248684e-09,0.304538086663097,0.397,0.316,0.000142130975192875,"GLUL","ANXA5"
"FKBP5",1.01768478293666e-08,0.478829788883256,0.339,0.271,0.00014476566037274,"GLUL","FKBP5"
"RAB5IF",1.27975527794727e-08,0.340416937146158,0.431,0.355,0.000182045188287999,"GLUL","RAB5IF"
"EIF1",1.38310658641474e-08,0.332910702518588,0.357,0.279,0.000196746911917497,"GLUL","EIF1"
"UGT2B10",1.58267508609057e-08,0.254619598599656,0.579,0.496,0.000225135530996384,"GLUL","UGT2B10"
"MSR1",1.87568930773077e-08,1.02614241480223,0.068,0.034,0.000266816804024702,"GLUL","MSR1"
"TGFBI",1.99793199970078e-08,0.356708644241258,0.326,0.251,0.000284205826957436,"GLUL","TGFBI"
"FBXO7",1.99909160581399e-08,0.345670683728599,0.419,0.344,0.00028437078092704,"GLUL","FBXO7"
"SLC22A3",2.11192951457042e-08,0.656536344770393,0.139,0.089,0.000300421973447643,"GLUL","SLC22A3"
"CPVL",2.13905408487956e-08,0.656908605136512,0.134,0.084,0.000304280443574117,"GLUL","CPVL"
"CALHM6",2.55952889190404e-08,0.813148691468033,0.094,0.054,0.00036409298487335,"GLUL","CALHM6"
"HIPK2",2.80552594060119e-08,0.456589353403479,0.263,0.198,0.00039908606505052,"GLUL","HIPK2"
"CLTC",3.23153200086e-08,0.371612502314615,0.334,0.262,0.000459685427122335,"GLUL","CLTC"
"XRCC5",3.33380519505818e-08,0.277049341830987,0.44,0.359,0.000474233788997026,"GLUL","XRCC5"
"SUMO1",3.43033012192644e-08,0.361359833283947,0.341,0.268,0.000487964459844036,"GLUL","SUMO1"
"GSTM1",3.79287788271492e-08,0.384297148318048,0.414,0.352,0.000539536878816197,"GLUL","GSTM1"
"AKR1C3",3.81491790460223e-08,0.551700628325791,0.181,0.125,0.000542672071929667,"GLUL","AKR1C3"
"IGLC1",3.86872868708901e-08,0.961734964654918,0.087,0.049,0.000550326655738412,"GLUL","IGLC1"
"STAT6",4.29670410058404e-08,0.362650928680211,0.363,0.292,0.00061120615830808,"GLUL","STAT6"
"MYL12A",4.32484177769851e-08,0.454854850978151,0.229,0.167,0.000615208742877613,"GLUL","MYL12A"
"GSTZ1",5.22304228007944e-08,0.266626591948774,0.423,0.341,0.0007429777643413,"GLUL","GSTZ1"
"UGT1A1",5.34568437464816e-08,0.358717753889102,0.446,0.375,0.000760423602293701,"GLUL","UGT1A1"
"SCARB2",5.71250162803871e-08,0.377239093251568,0.339,0.269,0.000812603356588507,"GLUL","SCARB2"
"ACE",6.34833457065434e-08,1.07008576238983,0.055,0.026,0.00090305059267558,"GLUL","ACE"
"MICU1",6.4113261189904e-08,0.463828653026275,0.23,0.169,0.000912011140426385,"GLUL","MICU1"
"MX1",6.48931854321774e-08,0.660686944373948,0.122,0.077,0.000923105562772724,"GLUL","MX1"
